sentiment;text
Negative; ? من اين لنا المياه لتبريد المفاعل النووي فهو يحتاج الى نصف مليون مترا مكعبا من المياه لتبريده سنويا على الاقل والقاصي والداني يعرف اننا في بلد يعاني من شحة المياه اما كعلوم و معرفة بالعلوم النووية و الطاقة فانا احب ان يتعلمها المتعلمين في بلادنا بدءا من جدول مندلييف للعناصر مرورا ب العناصر المشعة و نظرية اينشتاين للطاقة و نظريات الفيزياء الكمية و البحث في عمر البروتون و النيوترينو والكواركات واللبتونات والuncertainty principle و النظائر المشعة و تفتيت الذرة و اشعة جاما و بيتا و الفا و الراديوم و البلوتونيوم و البروتونات و كافة النظريات بما فيها انواع المفاعلات النووية و تجارب الامم فيها مثل اليابان و المانيا و روسيا و فرنسا و امريكا و للعلم فقط انها علوم نظريا سهلة و بسيطة و يستطيع فهمها حتى الانسان ذو الخلفية و الرغبة العلمية و على جميع او على الاقل جزء من علمائنا ان يقرروا المسار الذي يجب ان نسلكه و نسير فيه بهذا الخصوص بموازنة المخاطر و المكاسب و بعدها و على اساس النتيجة و الفائدة الواضحة يتم الاعتماد لقرارهم ان كان سلبا ام ايجابا
Negative; ?و سيارة الحكومه من السعوديه اجن هديه يزلامه المسؤالين اكلونا
Negative; ?التقدم والازدهار يكون مرتبط بقواعد الأمن قبل الشروع في بناء المفاعل عليكم قراءة التقارير الصادرة عن هيئة الطاقة و المخاطر التي سيجنيها الأردن جراء انشاء المفاعل يا عزيزي ديمونه انتهى عمره و سيكون المفاعل الاردني بديل في أرض ستكون مكباً للنفايات النوويةة المطلع الله
Negative;" ?هو أحنا خلينآ نخلص أم هالبرجين الللي صرلهم 16 سنة و بعدين بنفكر نعمل نووي "" سلمي "" هههه من الديسي"
Negative; ?يا جاهلين .. يلي بحكي عن الطاقه .. النووي وجودو كفيل بوفاة 10000 شخص وولادة 10000 طفل مشوه .. ولو انو اشي منيح كان ما بزتوه بالصحرا .. وجودو بعيد بقلل مخاطر بس ما بمنعها .. و يلي بحكي انو احنا امه جاهله ما بدها تطور .. بكون هوه الجاهل و عدو نفسو و عدو الانسانية .. و بلا ننوي و بلا زفت ... قال نتطور قال . .لو بدنا نتطور طورنا حالنا من زمان مش على دور الننووي .. شعب جاهل
Negative; ?اللي موافق عالمفاعل يبنيه جنب داره ... ما يسطح الواحد غير المتحذلقين اللي يخلوا حالهم مثل ابو العريف ما حد يفهم غيرهم .... رابع افقر دوله في العالم في المياه و تبنى مفاعل نووي !!! استنوا لما يطورو مفاعلات نووية صحراوية و بعدين اشطحوا
Negative; ?الدول المتقدمة الان تتجه لستخدام الطاقة المتجدده لانها اقل كلفة و ليس لها مخاطر على البيئة و الانسان و نحن الان نعاني من ضائقة مالية كبيرة و شحة مياه شديدة و كلنا يعلم مدى حاجة المفاعل للمياه اذكركم فقط بما حدث في اليابان و هي الدولة الاكثر تطور في مجال التكنولوجيا و هي عبارة عن جزر و كذلك كم أثر علينا المفاعل النووي الاسرائيلي و حالات السرطان المنتشرة ولو لاحظنا التشوهات الخلقية الاكثر في جنوب البلاد
Negative; ?احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة ... القمح فاسد المصفاه مش حسب المواصفات الخضار و الفواكه مواد كيماوية شوارع مش مصانة حفر و مطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء .. ليس هروب من التطور و انما الابتعاد عن الفشل الأكيد عبر التجارب .
Negative; ????
Negative; ?لا يوجد كفائات بالأردن قادرة على ادارة هكذا مشروع , أنو تقدم و أنو ازدهار! العالم كلو ببعد عن النووي الا طوقان , شوفو اليابان الكارثة الصارت فيها لو اتصير بالأردن البلد رايحا تتدمر و جيرانها كمان , وهسا متأكد 100 فلسفجي راح يجي يحكيلي عن كفائات البلد, دخيلكو وينها اذا شوارع ما ابنعرف نبني راح يبنو مفاعل!!!!!!!!
Negative; ?لنفترض جدلا ان لا اضرار صحية و بيئية سينتج عن بناء مفاعلات نووية سلمية   دعونا نفكر في الكلفة من حيث اولا: كلفة بناء عالية جدا لعدم امتلاكنا لهذه التكنولوجيا على شكل ديون تثفل كاهل العشر اجيال القادمة  ثانيا: لنفس السبب سنستورد خبراء للتشغيل لسنوات طويلة مما يزيد كلفة الطاقة و ليس العكس ناهيك عن حصول اي اخطاء مفترضة مستقبلا ثالثا: اين هو المكان البعيد عن المدن في الاردن واين مصدر المياه الكافية للتبريد رابعا:من حق المواطنين و اصحاب القرار الحصول على تقرير منشور للاثر البيئي مسبقا. بنفس الوقت نستطيع الحصول على نفس كمية الطاقة من الصخر الزيتي الذي نمتلك منه احتياطي هائل و من الغاز الطبيعي المؤمل مستقبلا و من الطاقة الشمسية و من طاقة الرياح بكلف نسبيا اقل بكثير من النووي دون اعباء ديون اضافية.
Negative; ?الحمدلله في خضم تفوق امريكا بمجال الطاقة النووية و سعيها للتخلص من نفط العرب , و استخدامها الطاقة النووية في الفضاء : نحن نجمع التواقيع لرفضها :))
Negative; ?حسبنا الله و نعم الوكيل فيكوا
Negative; ?احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة ... القمح فاسد المصفاه مش حسب المواصفات الخضار و الفواكه مواد كيماوية شوارع مش مصانة حفر و مطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء.. ليس هروب من التطور و انما الابتعاد عن الفشل الأكيد عبر التجارب .
Negative; اذا اليابان اكلت هوا من النووي كيف احنا
Negative;" ?الرفض القاطع للمشروع لانه بس يتم و يشتغل تمام رايح ينباع او يتم تاجيره و نصير نشتري وقود مخصب و يصير اغلى من الكهربا لانه للاسف ما فيه شي بعيد عن ايدي المفسدين و الاستغلاليين او يصير زي مشروع تسمين البقر ؛ينتجو الطاقه و تروح لاطراف خارجيه خالرج اطار حاجة العامه"
Negative; كلامك في غاية الجديه صحيح
Negative; ?ليش ما نتعلم من الي صار في اليابان  وروسيا  ألمانيا ألغت نظرتها في بناء مفاعلات نووية و استخدام الطاقة البديلة.
Negative; ?هات ناس تفهم .. و المثل بحكي اسأل مجرب و لا تسأل خبير
Negative; ?فعلا الطاقة الشمسية هي البديل و ليست النووية لان حتى الدول المتقدمة صارت تتخلص من النووي و تتجة للطاقة البديلة و خصوصا احنا الاردن بلد مشمس عالطول السنة و الكلفة ما اتوقع اكثر من الطاقة النووية
Negative; ?أوروبا كلها تريد التخلص من النووي و تحاول استثمار الطاقه الشمسية و ما عندهم شمس قد ربعنا و احنا بدنا نأخذ الي راحت موضته وولى زمانه من كثر إخلاص القائمين على مصلحة الوطن يا حسره
Negative; ?يااخوان احنا مع التطور بس منين نجيب سبعة عشر مليار دولار تكلفة المشروع . لنبدا اولا بااستغلال الرياح و الطاقه الشمسيه و الصخر الزيتي و نبد بتخفيف الفاتوره النفطيه .و المثل بقول خذ من طين بلادك و حط علئ خدادك.
Negative; ?هههههههههههههههههههههههههه الحلو انكم بتحكوا على اساس انو الأردن ما فيه فساد و سرقات ...........
Negative; الك يوم يا ظالم
Negative; ?يا أخوان القصه مش قصة طاقه متجدده او نوويه الموضوع كالتالي سواء عملنا هاي او تلك كلوا رايح في جيبة فلان و علنتان زي ما باعوا البوناس و الفوسفات و من اسبوعين لما باعوا المطار لشركه فرنسيه هيك رح يصير بالمفاعل النووي او محطات الطاقة المتجدده يعني بين قوسين آخريتها تنباع فقبل ما انلم تواقع لازم نلم بعضنا و نروح نحاسب كل واحد لعب قمار فينا و نحاسب كل واحد باع شغله بتخصنا و بتخص بلدنا بدون ما يوخذ رأينا لأنو احنا بلشنا نعد لورى و بعتذر على الإطاله........
Negative; انا ضد المفاعل
Negative; ههههههههههههههه ما بقدروا
Negative; ولا بقلو بيضه
Negative; يخسو الشيعه الخنزير
Negative; ? طوقان بدور ع منصب يضل فيه عشر سنين لقدام لاسئلان في نووي و لا سلامة الاردن
Negative; حتى نعرف نحل مشكلة المجاري بعدين منعمل مفاعلات
Negative; ? و الله انو مكب نفايات نوويه و أنا اشتغلت بالمفاعل و موقعه بعلان بالسلط 
Negative; ?و الله و الله عباره عن أعاده تدوير للمخلفات النوويه و الأردن منها بس الأرض و الجمهور بتراب الفلوس ارحمو هل البلد هلكتوها صرنا علا لسان الكل انا إحنا حراميه و بس كلشي انباع بالبلد الواحد خايفه بكره يبعيوه كمان ارحمونا الله لا يسامحكم
Negative; ?الموضوع ما اله علاقه بالتخلف بس لما تكون الاضرار اكثر من الفائده بلا منه و ا?هم من هيك انه المفاعل بحاجه لتبريد دائم و للاسف وين المي يلي عنا؟؟؟؟
Negative; ?اللة لا يشبعكو يا حرامية
Negative; لا للناووي
Negative; لا للمفاعل النووي
Negative; الي انا شايفو انو المفاعل راح ينعمل في الاردن و راح يخدم دول تانية.... يعني مش عشان سواد عيونا...
Negative; انا مع الاخ محمد سلامة بهالموضوع 
Negative; لإنه النووي ضرره علينا اكتر بكتير من فوائده 
Negative; ?و إذا فادنا بشي رح يكون في خسارة كبيرة بالاخر
Negative; لا للمفاعل داخل الأردن
Negative; ?المشكله احنا امه لا تتعلم من غيرها تسريب المفاعل الياباني و الكثير الكثير ا.. احدى الدول الاوروبيه اعلنت باستبدال المفاعلات النوويه بطاقه البديه و الغريب انه بنفس اليوم اعلنت السعوديه بانشاء مفاعلات نوويه (سلميه) لا ذكر اسم الدوله الاوروبيه اعتقد المانيا ..انني اقسم بالله العظيم انني افضل النوم بكير و استغني عن الكهرباء كليا اذا كانت بمفاعل نووي على الاراضي الاردنيه
Negative; ?الا يكفي ان نسبة مرضى السرطان في الاردن اعلى نسبة عالميه بسبب مفاعل دايمونه الاسرائيلي .و بكل جهل نضعهه في بلدنا؟؟؟؟؟؟؟؟؟؟؟؟؟؟
Negative; ?اي تقدم اي ازدهار مفاعل النووية بعمل الامراض كثير اهم السرطان الله يبعده عنها و انا معهم رفض المفاعل النووية
Negative; ذبحتونا
Negative; نحن نرفض المفاعل النووي
Negative; ?أنا ضد النووي .و الأ??? ????? كالأردن البحث عن مصادر للطاقه النظيفه .و خصوصا إننا نفتقر للماء . و الأجدى بنا أيضا أن نبحث عن سبل لحل مشكلة المياه بالمبالغ التي ستصرف على المفاعلات النوويه
Negative; ?مهو اصلأ زي مشروع الباص السريع يلي استملكو عشانه شارع المحطة كاملا و لساتنة منسمع عنو ما شفنا
Negative; ?ما انتو ادرى انو الموضوع مش لصالح الصحه العامه بعدين مش كل اشي بتعملو امريكا لازم نعملو و نصير امعه اصلا احنا دول امعه شو بتحكي امريكا ولا الضالين امين نفسي امريكا تقلدنا باشي واحد
Negative; ?بني البرنامج النووي الأردني على عدة تصورات خاطئة بشكل خطير تتعلق بالتكنولوجيا , الاقتصاد , الترتيبات التجارية , ملاءمة منظومة الكهرباء الأردنية. و فقر المياه و موقع الأردن الجغرافي و ظروفه السياسية و حجم شبكة الكهرباء فيها كلها عوامل تقود إلى مشاكل إضافية خطيرة
Negative;" ?للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي ""كما اعلنت هيئة الطاقة"" يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل"
Negative; انا ضد وجود المفاعلات النووية في الأردن
Negative; ?يا عالم النواوي خطير ( بحرق الاخضر و اليابس ) غلطة واحده كارثه
Negative; بني البرنامج النووي الأردني على عدة تصورات خاطئة بشكل خطير تتعلق بالتكنولوجيا, الاقتصاد, الترتيبات التجارية, ملاءمة منظومة الكهرباء الأردنية. وفقر المياه وموقع الأردن الجغرافي وظروفه السياسية وحجم شبكة الكهرباء فيها كلها عوامل تقود إلى مشاكل إضافية خطيرة
Negative;" للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن لا يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي ""كما اعلنت هيئة الطاقة"" يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل"
Negative; الله ينتقم منهم اجمعين اللي في بالي
Negative; ?و كمان بالمقارنة بالدول الأخرى في الجانب التقني فإن مفاعل Atmea1 الفرنسي-الياباني و مفاعل AES92 الروسي لم يتم تجربة تشغيلهما بعد. فالأول لم يبدأ العمل على تصميمه بعد   لذا لا توجد مراجعة شاملة و عميقة لسلامة التصميم  و بغض النظر عن الأردن فلا توجد أي آفاق تجارية لهذا النموذج حتى اللحظة. أما عن تصميم AES92 فتم في الهند و ذكرت تقارير أنه جاهز للعمل في نهاية 2012  و لم يتم تشغيله لحد الآن
Negative; ?يمكن امركا والصين الي بتحكي عنها مساحتها قد الأردن بمية مرة يعني لو صار تسرب نووي او اي مشكلة بتنحل اما الأردن اي مشكلة بتاثر على البلد كلها بعدين احنا حكومتنا خلصة كل أنواع التطور و ضايل عليها بس تعمل برنامج نووي و بتصير زي امريكا و بجوز يعطوها حق النقض
Negative; ?احنا شعب مش عارفين نبني شارع و نعمل له صيانة كيف موضوع مفاعل ما عنا خبرة فيه و كل البلاد المتقدمة بس بلشت تلغي هذا النوع من الطاقة . رحنا لجأنا له. متناسين اننا في منطقة حفرة الانهدام و عرضة للزلازل . و غير اننا عرضة للنصب من خلال الجهل و الفساد المتفاقمين عنا. و غير نسب السرطان المتزايدة بدون واسطة . و بالاخير بقولوا عنا شعب متخلف اذا رفضنا علم صعب التطبيق عنا.. و الاولى انو نراجع ادارة الموارد و الاصلاح و تقويم انفسنا لحل مشاكل الطاقة وغيرها ....
Negative; ?بعدين الاردن تسبح على بحر من النفط و الصخر الزيتي اشتغلو فيه بالاول بيكفينا 100 سنه
Negative;" للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن لا يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي ""كما اعلنت هيئة الطاقة"" يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل"
Negative; ?المفاعل النووي سيحتاج لشريك استراتيجي يمتلكه او جزء كبير منه و ستدفع الحكومة الأردنية ثمن الكهرباء لهذا المستثمر لذلك يوجد احتمال كبير ان ترتفع هذه الفاتورة
Negative; المفاعل النووي سيحتاج لشريك استراتيجي يمتلكه او جزء كبير منه وستدفع الحكومة الأردنية ثمن الكهرباء لهذا المستثمر لذلك يوجد احتمال كبير ان ترتفع هذه الفاتورة
Negative; ?الطاقة الشمسية هي البديل و ليست النووية
Negative;" للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن لا يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي ""كما اعلنت هيئة الطاقة"" يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل"
Negative; ?للي مفكرين المفاعل راح يطورهم - المفاعل راح يدمر الأردن و المنطقة اللي حولها لأن الفساد الموجود بالأردن مش موجود بدوله أخرى و هذا يعني أن الفاسدين رايحين يسمسروا و يلهفوا لما يوصلوا اشكل مفاعل للأردن و ناسين أن المفاعل يحتاج إلى بحر ماء للتبريد و نحن لانملك ماء للشرب و ناسين أن التطور يكون بمشاركة الجميع و ليس بقرار فردي و ناسين أن الذي أقر المفاعل هو المحتكر الأول هيئة الطاقة و أن شاغرها بقي معلق أثناء فترة تسلم طوقان وزارة التربية والتعليم ؟؟؟لدول المتقدمة بدأت تبحث عن بدائل للمفاعلات و احنا بنشتري الخربان منهم مشان التقدم و بلدنا بفضل الله لديها طاقة الرياح و طاقة الشمس لماذا لا يتم إستغلالها بدل المفاعل النووي طالما أكلنا معظمه فاسد و غير صالح بسبب الجشع و الطمع و الفساد.
Negative; لقد اتحفتمونا بلجوكم لجيبتنا التي انفجرت بفضلكم و الفاسدين يتنعمون باموالنا فهل اصبح فاسدا لأعيش
Negative; ?يا اخوان ... مش عارف ليش النووي و احنا عندنا النووي الطبيعي ...شمس ورياح ( نسبة سطوع الشمس بالمملكه على مدار العام 290 يوم من 365 يوم ) وعندنا بالاردن اذا خط ماء بينضرب بيقعدوا اسبوع الى 4 اسابيع لما يصلحوه ,,, ايش بده يصير فينا بكره مع النووي ... بالاضافه الى انه ما عندنا ماء نشرب ... من وين بدنا نجيب للتبريد ... الله يهديهم
Negative; من اين لنا المياه لتبريد المفاعل النووي فهو يحتاج الى نصف مليون مترا مكعبا من المياه لتبريده سنويا على الاقل والقاصي والداني يعرف اننا في بلد يعاني من شحة المياه اما كعلوم ومعرفة بالعلوم النووية والطاقة فانا احب ان يتعلمها المتعلمين في بلادنا بدءا من جدول مندلييف للعناصر مرورا ب العناصر المشعة ونظرية اينشتاين للطاقة ونظريات الفيزياء الكمية والبحث في عمر البروتون والنيوترينو والكواركات واللبتونات والuncertainty principle والنظائر المشعة وتفتيت الذرة واشعة جاما وبيتا والفا والراديوم والبلوتونيوم والبروتونات وكافة النظريات بما فيها انواع المفاعلات النووية وتجارب الامم فيها مثل اليابان والمانيا وروسيا وفرنسا وامريكا وللعلم فقط انها علوم نظريا سهلة وبسيطة ويستطيع فهمها حتى الانسان ذو الخلفية والرغبة العلمية وعلى جميع او على الاقل جزء من علمائنا ان يقرروا المسار الذي يجب ان نسلكه ونسير فيه بهذا الخصوص بموازنة المخاطر والمكاسب وبعدها وعلى اساس النتيجة والفائدة الواضحة يتم الاعتماد لقرارهم ان كان سلبا ام ايجابا
Negative; ?التقدم و الازدهار يكون مرتبط بقواعد الأمن قبل الشروع في بناء المفاعل عليكم قراءة التقارير الصادرة عن هيئة الطاقة و المخاطر التي سيجنيها الأردن جراء انشاء المفاعل يا عزيزي ديمونه انتهى عمره وسيكون المفاعل الاردني بديل في أرض ستكون مكباً للنفايات النوويةة المطلع الله
Negative;" هو أحنا خلينآ نخلص أم هالبرجين الللي صرلهم 16 سنة وبعدين بنفكر نعمل نووي "" سلمي "" هههه من الديسي"
Negative; يا جاهلين .. يلي بحكي عن الطاقه .. النووي وجودو كفيل بوفاة 10000 شخص وولادة 10000 طفل مشوه .. ولو انو اشي منيح كان مابزتوه بالصحرا .. وجودو بعيد بقلل مخاطر بس ما بمنعها .. ويلي بحكي انو احنا امه جاهله مابدها تطور .. بكون هوه الجاهل وعدو نفسو وعدو الانسانية .. وبلا ننوي وبلا زفت ... قال نتطور قال . .لو بدنا نتطور طورنا حالنا من زمان مش على دور الننووي .. شعب جاهل
Negative; اللي موافق عالمفاعل يبنيه جنب داره ... ما يسطح الواحد غير المتحذلقين اللي يخلوا حالهم مثل ابو العريف ما حد يفهم غيرهم .... رابع افقر دوله في العالم في المياه وتبنى مفاعل نووي !!! استنوا لما يطورو مفاعلات نووية صحراوية وبعدين اشطحوا
Negative; ???????
Negative; الدول المتقدمة الان تتجه لستخدام الطاقة المتجدده لانها اقل كلفة وليس لها مخاطر على البيئة والانسان ونحن الان نعاني من ضائقة مالية كبيرة وشحة مياه شديدة وكلنا يعلم مدى حاجة المفاعل للمياه اذكركم فقط بما حدث في اليابان وهي الدولة الاكثر تطور في مجال التكنولوجيا وهي عبارة عن جزر وكذلك كم أثر علينا المفاعل النووي الاسرائيلي وحالات السرطان المنتشرة ولو لاحظنا التشوهات الخلقية الاكثر في جنوب البلاد
Negative; ???? ???? ?? ????? ????
Negative; ?احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة ... القمح فاسد المصفاه مش حسب المواصفات الخضار والفواكه مواد كيماوية شوارع مش مصانة حفر ومطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء.. ليس هروب من التطور وانما الابتعاد عن الفشل الأكيد عبر التجارب .
Negative; اذا الخبر صحيح انا اول شخص بطالب بالهجرة لاي دولة خليجية او اوروبية او حتى اسرائيل
Negative; ??????
Negative; لا يوجد كفائات بالأردن قادرة على ادارة هكذا مشروع, أنو تقدم و أنو ازدهار! العالم كلو ببعد عن النووي الا طوقان, شوفو اليابان الكارثة الصارت فيها لو اتصير بالأردن البلد رايحا تتدمر و جيرانها كمان, وهسا متأكد 100 فلسفجي راح يجي يحكيلي عن كفائات البلد, دخيلكو وينها اذا شوارع ما ابنعرف نبني راح يبنو مفاعل!!!!!!!!
Negative; ?لنفترض جدلا ان لا اضرار صحية و بيئية سينتج عن بناء مفاعلات نووية سلمية   دعونا نفكر في الكلفة من حيث اولا: كلفة بناء عالية جدا لعدم امتلاكنا لهذه التكنولوجيا على شكل ديون تثفل كاهل العشر اجيال القادمة  ثانيا: لنفس السبب سنستورد خبراء للتشغيل لسنوات طويلة مما يزيد كلفة الطاقة وليس العكس ناهيك عن حصول اي اخطاء مفترضة مستقبلا ثالثا: اين هو المكان البعيد عن المدن في الاردن واين مصدر المياه الكافية للتبريد رابعا:من حق المواطنين واصحاب القرار الحصول على تقرير منشور للاثر البيئي مسبقا. بنفس الوقت نستطيع الحصول على نفس كمية الطاقة من الصخر الزيتي الذي نمتلك منه احتياطي هائل ومن الغاز الطبيعي المؤمل مستقبلا ومن الطاقة الشمسية ومن طاقة الرياح بكلف نسبيا اقل بكثير من النووي دون اعباء ديون اضافية.
Negative; الحمدلله في خضم تفوق امريكا بمجال الطاقة النووية وسعيها للتخلص من نفط العرب , واستخدامها الطاقة النووية في الفضاء : نحن نجمع التواقيع لرفضها :))
Negative; ??????
Negative; ?احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة... القمح فاسد المصفاه مش حسب المواصفات الخضار والفواكه مواد كيماوية شوارع مش مصانة حفر ومطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء.. ليس هروب من التطور وانما الابتعاد عن الفشل الأكيد عبر التجارب .
Negative; ?????? ???? ????? :(
Negative; اذا اليابان اكلت هوا من النووي كيف احنا
Negative;" ?الاردن فيه طاقة شمسية بتغنينا عن استخدام المفاعلات     تخيلو معي الطريق بين عمان و العقبة كلها ارض فاضية و صحرا منقدر نستغلها في بناء خلايا شمسية      احنا مش ضد انا نتطور و لكن الدول ""المتطورة"" عم بتخلو عن الطاقة النووية اللي رافقها مشاكل صحية و بيئية عديدة و عم بسبتدلوها بالطاقة المتجددة     طاقة نظيفة و غير مكلفة"
Negative; ?? ????
Negative; ?انا مش مسؤول عن الحرامية يتفنجرو بمصاري البلد و انا اشحد
Negative;" ?بس تكون من سكان اربد و تكون قريب على المفاعل النووي في جامعه التكنولوجيا و بتشرب من مياه اربد التي تبعد اقل من 100 متر في باطن الارض "" حوض اليرموك ""عن مركز المفاعل بتقدر تعترض .... وين بدك تصرف المياه التي تخرج من المفاعل ... "" لا تقولوا مفاعل التكنولوجيا تدريبي بس اسمه مفاعل و بتخرج منه مخلفات نوويه "" الدول الاوروبيه بدات الاستغناء عن المفاعلات النوويه ..... عندك مياه بالاردن من اجل تشغيل المفاعل ..... قبل الحكم على الاشخاص الذين يقومون ضد هذا المشروع اسالوا الجولوجيين و اثرها على المياه الجوفية ..... بتحداك اذا بتسال خالد طوقان عن الاثار الجانبيه من الفاعل النووي و جاوبكوا .... كلامي هذا من دكاترة جامعات مختصين في الجولوجيا و اثره على المياه الجوفيه"
Negative; ?? ???????
Negative; في خطبه وحده رفض شيخ إخواني النووي الاردني   و مدح النووي الايراني
